#Measurement:		CV
#Sensor type:		CALICE_6in_256ch
#Needle measurement:	0
#Identifier:		77_20250221_1
#Timestamp:		21.2.2025 10:9 
#Voltage delay:		20.0 s
#Switch delay:		0.3 s
#Compliance level:		2000.00 uA
#Mask pads above:		5.00 uA
#Voltage limit:		100.0 V
#LCR freq.:		2000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		1,48,57,65,120,193,241,256
#Masked channels:		None
#Vltg. sign inversion?:	1
#VISA source:		GPIB0::18::INSTR
#VISA DMM:		GPIB0::25::INSTR
#VISA LCR:		GPIB0::17::INSTR
#HexPlot cmd:		C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_77_20250221_1\CALICE_6in_256ch_77_20250221_1_CV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_77_20250221_1\CALICE_6in_256ch_77_20250221_1_CV_customscan.pdf" --CV  --select 200  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\calice\Desktop\SensorTest_CALICE_6in_256ch-melissa_20241018\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\geo\hex_positions_HPK_256ch_6inch_CALICE.txt" --colorpalette 1
#HexPlot analysis cmd:	C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_77_20250221_1\CALICE_6in_256ch_77_20250221_1_CV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_77_20250221_1\CALICE_6in_256ch_77_20250221_1_CV_customscan_analysis.pdf" --CV  --select 200  --if SELECTOR:PADNUM:VAL -p PAD --sc 1-120--invertx -g "C:\Users\calice\Desktop\SensorTest_CALICE_6in_256ch-melissa_20241018\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\geo\hex_positions_HPK_256ch_6inch_CALICE.txt" --colorpalette 1
#HexPlot on matrix cmd:	C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_77_20250221_1\CALICE_6in_256ch_77_20250221_1_CV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_77_20250221_1\CALICE_6in_256ch_77_20250221_1_CV_customscan.pdf" --CV  --select 200  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\calice\Desktop\SensorTest_CALICE_6in_256ch-melissa_20241018\HGCAL_sensor_tests-CALICE_6in_256ch\geo\switch_matrix.txt" -m "C:\Users\calice\Desktop\SensorTest_CALICE_6in_256ch-melissa_20241018\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\maps\Probe_card_CALICE_6in_256ch.txt"  --colorpalette 1
#Voltage file:		C:\Users\calice\Desktop\ProbeStation\SensorTest_CALICE_6in_256ch\HGCAL_sensor_tests-CALICE_6in_256ch\config\Voltages_20250214.txt
#CV correction file:		None
#Comments:		sensor aligned, mark on top, test few channels cold lab

#Voltage	#Channel	#Cs        	#Error     	#Tot. curr.	#Act. vlt.	#Time 	#Temp	#Hum.	#Cp        	#Error     	#Impedance 	#Error     	#Phase      	#Error     	#Cs uncorr.	#Cp uncorr.
#[V]    	#       	#[pF]      	#[pF]      	#[nA]      	#[V]      	#[s]  	#[C] 	#[%] 	#[pF]      	#[pF]      	#[Ohm]     	#[Ohm]     	#[Rad]      	#[Rad]     	#[pF]      	#[pF]      
5.0     	1       	2.333307E+0	2.617094E-3	1.73E+1    	5.00      	24.27 	19.8 	31.6 	2.309702E+0	4.572988E-6	3.427887E+7	3.505515E+4	-1.671543E+0	1.130722E-3	2.333307E+0	2.309702E+0
5.0     	48      	1.155331E+1	2.001941E-3	1.54E+1    	5.00      	27.16 	19.8 	31.6 	1.154675E+1	4.049702E-6	6.889807E+6	1.197177E+3	-1.594613E+0	1.021437E-4	1.155331E+1	1.154675E+1
5.0     	57      	2.205424E+0	5.783180E-4	1.50E+1    	5.00      	29.74 	19.8 	31.6 	2.163129E+0	1.808497E-7	3.643367E+7	8.047567E+3	-1.709727E+0	5.014313E-4	2.205424E+0	2.163129E+0
5.0     	65      	1.121500E+1	2.201503E-3	1.53E+1    	5.00      	32.31 	19.8 	31.6 	1.120847E+1	4.690484E-6	7.097693E+6	1.382184E+3	-1.594923E+0	8.020806E-5	1.121500E+1	1.120847E+1
5.0     	120     	1.127868E+1	1.435421E-3	1.52E+1    	5.00      	34.87 	19.8 	31.6 	1.127201E+1	1.965193E-6	7.057653E+6	8.879377E+2	-1.595120E+0	8.185353E-5	1.127868E+1	1.127201E+1
5.0     	193     	2.055884E+0	1.875524E-3	1.53E+1    	5.00      	37.45 	19.8 	31.6 	2.055728E+0	3.418453E-6	3.870867E+7	3.504516E+4	-1.579483E+0	7.478191E-4	2.055884E+0	2.055728E+0
5.0     	241     	1.147922E+1	2.264410E-3	1.50E+1    	5.00      	40.02 	19.8 	31.6 	1.147342E+1	5.691043E-6	6.934060E+6	1.404671E+3	-1.593273E+0	2.510644E-4	1.147922E+1	1.147342E+1
5.0     	256     	1.149346E+1	1.802940E-3	1.53E+1    	5.00      	42.59 	19.8 	31.6 	1.148757E+1	3.189627E-6	6.925490E+6	1.081296E+3	-1.593433E+0	1.700980E-4	1.149346E+1	1.148757E+1
10.0    	1       	2.250123E+0	2.400129E-3	2.59E+1    	10.00     	74.41 	19.8 	31.6 	2.224086E+0	7.454552E-6	3.557227E+7	4.082479E+4	-1.678573E+0	7.489548E-4	2.250123E+0	2.224086E+0
10.0    	48      	8.726949E+0	2.532997E-3	2.33E+1    	10.00     	76.92 	19.8 	31.6 	8.715872E+0	6.729538E-6	9.124383E+6	2.682114E+3	-1.606430E+0	1.473092E-4	8.726949E+0	8.715872E+0
10.0    	57      	2.104851E+0	2.681944E-3	2.26E+1    	10.00     	79.51 	19.8 	31.6 	2.060510E+0	7.193508E-6	3.821137E+7	4.922157E+4	-1.716453E+0	2.983845E-4	2.104851E+0	2.060510E+0
10.0    	65      	8.425265E+0	7.049828E-4	2.29E+1    	10.00     	82.08 	19.8 	31.6 	8.414601E+0	4.144308E-7	9.451083E+6	7.565932E+2	-1.606380E+0	1.212436E-4	8.425265E+0	8.414601E+0
10.0    	120     	8.405295E+0	6.189599E-4	2.31E+1    	10.00     	84.65 	19.8 	31.6 	8.394499E+0	4.203274E-7	9.473627E+6	7.139561E+2	-1.606643E+0	1.059874E-4	8.405295E+0	8.394499E+0
10.0    	193     	1.985998E+0	1.747944E-3	2.29E+1    	10.00     	87.23 	19.8 	31.6 	1.984943E+0	3.187552E-6	4.007993E+7	3.565338E+4	-1.593817E+0	1.416063E-3	1.985998E+0	1.984943E+0
10.0    	241     	8.699042E+0	2.875056E-3	2.32E+1    	10.00     	89.80 	19.8 	31.6 	8.689326E+0	8.152477E-6	9.152957E+6	3.016311E+3	-1.604223E+0	1.814754E-4	8.699042E+0	8.689326E+0
