#Measurement:		IV
#Sensor type:		CALICE_6in_256ch
#Needle measurement:	0
#Identifier:		CSIS001_IVSample_20250521_0
#Timestamp:		21.5.2025 12:32 
#Voltage delay:		5.0 s
#Switch delay:		0.3 s
#Compliance level:		2000.00 uA
#Mask pads above:		5.00 uA
#Voltage limit:		100.0 V
#LCR freq.:		2000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		19,104,136,157,242
#Masked channels:		None
#Vltg. sign inversion?:	1
#VISA source:		GPIB0::18::INSTR
#VISA DMM:		GPIB0::25::INSTR
#VISA LCR:		GPIB0::17::INSTR
#HexPlot cmd:		C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_IV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_IV_customscan.pdf" --IV  --select 200  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx --invertVal -g "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\geo\hex_positions_HPK_256ch_6inch_CALICE.txt" --colorpalette 1
#HexPlot analysis cmd:	C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_IV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_IV_customscan_analysis.pdf" --IV  --select 200  --if SELECTOR:PADNUM:VAL -p PAD --sc 1-19--invertx --invertVal -g "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\geo\hex_positions_HPK_256ch_6inch_CALICE.txt" --colorpalette 1
#HexPlot on matrix cmd:	C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_IV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_IV_customscan.pdf" --IV  --select 200  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx --invertVal -g "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\geo\switch_matrix.txt" -m "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\maps\Probe_card_CALICE_6in_256ch.txt"  --colorpalette 1
#Voltage file:		C:\Users\calice\Desktop\ProbeStation\SensorTest_CALICE_6in_256ch\HGCAL_sensor_tests-CALICE_6in_256ch\config\Voltages_20250214.txt
#CV correction file:		none
#Comments:		CSIS 001 IV  CV sample channels

#Voltage	#Channel	#Current    	#Error     	#Tot. curr.	#Act. vlt.	#Time 	#Temp	#Hum.	#n/a       	#Error     	#n/a       	#Error     	#n/a       	#Error     	#n/a       	#n/a       
#[V]    	#       	#[nA]       	#[nA]      	#[nA]      	#[V]      	#[s]  	#[C] 	#[%] 	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     
5.0     	19      	1.067332E-1 	1.957916E-5	1.54E+1    	5.00      	9.28  	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
5.0     	104     	-1.054484E-1	1.467118E-4	1.36E+1    	5.00      	11.69 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
5.0     	136     	-1.619254E-1	3.165960E-5	1.35E+1    	5.00      	13.84 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
5.0     	157     	4.470503E-2 	1.529580E-4	1.32E+1    	5.00      	16.06 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
5.0     	242     	1.135786E-1 	1.936294E-4	1.34E+1    	5.00      	18.20 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
10.0    	19      	1.127299E-1 	7.201440E-4	2.04E+1    	10.00     	34.98 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
10.0    	104     	-1.043363E-1	3.187863E-4	1.73E+1    	10.00     	37.08 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
10.0    	136     	-1.602680E-1	1.754736E-4	1.74E+1    	10.00     	39.31 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
10.0    	157     	4.726393E-2 	1.926565E-4	1.73E+1    	10.00     	41.53 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
10.0    	242     	1.246538E-1 	3.474236E-4	1.71E+1    	10.00     	43.76 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
15.0    	19      	1.201933E-1 	2.225517E-4	2.38E+1    	15.00     	60.19 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
15.0    	104     	-1.035115E-1	1.614614E-4	1.97E+1    	15.00     	62.33 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
15.0    	136     	-1.592717E-1	3.250348E-4	2.01E+1    	15.00     	64.55 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
15.0    	157     	4.978394E-2 	1.030033E-4	1.98E+1    	15.00     	66.80 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
15.0    	242     	1.331641E-1 	3.093493E-5	2.01E+1    	15.00     	69.06 	23.3 	38.4 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
