#Measurement:		CV
#Sensor type:		CALICE_6in_256ch
#Needle measurement:	0
#Identifier:		systemCapacitance_20250604_0
#Timestamp:		4.6.2025 15:43 
#Voltage delay:		20.0 s
#Switch delay:		0.3 s
#Compliance level:		2000.00 uA
#Mask pads above:		5.00 uA
#Voltage limit:		100.0 V
#LCR freq.:		2000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		None
#Masked channels:		None
#Vltg. sign inversion?:	1
#VISA source:		GPIB0::18::INSTR
#VISA DMM:		GPIB0::25::INSTR
#VISA LCR:		GPIB0::17::INSTR
#HexPlot cmd:		C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_systemCapacitance_20250604_0\CALICE_6in_256ch_systemCapacitance_20250604_0_CV.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_systemCapacitance_20250604_0\CALICE_6in_256ch_systemCapacitance_20250604_0_CV.pdf" --CV  --select 1  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\geo\hex_positions_HPK_256ch_6inch_CALICE.txt" --colorpalette 1
#HexPlot analysis cmd:	C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_systemCapacitance_20250604_0\CALICE_6in_256ch_systemCapacitance_20250604_0_CV.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_systemCapacitance_20250604_0\CALICE_6in_256ch_systemCapacitance_20250604_0_CV_analysis.pdf" --CV  --select 1  --if SELECTOR:PADNUM:VAL -p PAD --sc 1-40--invertx -g "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\geo\hex_positions_HPK_256ch_6inch_CALICE.txt" --colorpalette 1
#HexPlot on matrix cmd:	C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_systemCapacitance_20250604_0\CALICE_6in_256ch_systemCapacitance_20250604_0_CV.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_systemCapacitance_20250604_0\CALICE_6in_256ch_systemCapacitance_20250604_0_CV.pdf" --CV  --select 1  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\geo\switch_matrix.txt" -m "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\maps\Probe_card_CALICE_6in_256ch.txt"  --colorpalette 1
#Voltage file:		None
#CV correction file:		None
#Comments:		system capacitance

#Voltage	#Channel	#Cs        	#Error     	#Tot. curr.	#Act. vlt.	#Time 	#Temp	#Hum.	#Cp        	#Error      	#Impedance 	#Error     	#Phase      	#Error     	#Cs uncorr.	#Cp uncorr.
#[V]    	#       	#[pF]      	#[pF]      	#[nA]      	#[V]      	#[s]  	#[C] 	#[%] 	#[pF]      	#[pF]       	#[Ohm]     	#[Ohm]     	#[Rad]      	#[Rad]     	#[pF]      	#[pF]      
1.0     	1       	7.064861E-1	2.063011E-4	-3.11E-2   	1.00      	22.44 	25.1 	36.0 	5.832374E-1	7.079739E-8 	6.654120E+7	1.326160E+4	-1.909603E+0	1.040833E-4	1.267996E+0	1.127927E+0
1.0     	2       	7.055732E-1	1.846938E-3	-4.46E-2   	1.00      	25.30 	25.1 	36.0 	5.824917E-1	4.312235E-6 	6.658730E+7	1.097111E+5	-1.909520E+0	6.010824E-4	1.267083E+0	1.127182E+0
1.0     	3       	7.037592E-1	7.110021E-4	-3.20E-2   	1.00      	27.86 	25.1 	35.9 	5.713721E-1	4.093435E-7 	6.696603E+7	3.706944E+4	-1.921333E+0	3.421013E-4	1.265269E+0	1.116062E+0
1.0     	4       	7.009785E-1	7.421779E-4	-7.98E-2   	1.00      	30.42 	25.1 	35.9 	5.729897E-1	3.893229E-6 	6.699127E+7	7.805782E+4	-1.916303E+0	1.701362E-3	1.262488E+0	1.117680E+0
1.0     	5       	7.072883E-1	2.881291E-3	-4.27E-2   	1.00      	33.00 	25.1 	35.9 	5.815986E-1	3.735493E-6 	6.656870E+7	1.226635E+5	-1.912543E+0	2.281498E-3	1.268798E+0	1.126289E+0
1.0     	6       	7.052685E-1	1.114952E-3	-9.19E-2   	1.00      	35.57 	25.1 	36.0 	5.785115E-1	4.821111E-7 	6.671310E+7	4.587952E+4	-1.914163E+0	9.078179E-4	1.266778E+0	1.123201E+0
1.0     	7       	6.991871E-1	1.388596E-3	-2.45E-2   	1.00      	38.16 	25.1 	36.0 	5.757247E-1	2.239407E-6 	6.695697E+7	7.497629E+4	-1.910890E+0	1.401820E-3	1.260697E+0	1.120415E+0
1.0     	8       	7.032730E-1	1.469385E-3	-2.84E-2   	1.00      	40.72 	25.1 	35.9 	5.739791E-1	3.219807E-6 	6.690087E+7	7.254249E+4	-1.917590E+0	2.457397E-3	1.264783E+0	1.118669E+0
1.0     	9       	6.956996E-1	8.526028E-4	-8.26E-2   	1.00      	43.28 	25.1 	36.0 	5.685909E-1	4.022899E-7 	6.726420E+7	2.281644E+4	-1.915960E+0	1.465844E-3	1.257210E+0	1.113281E+0
1.0     	10      	6.940646E-1	1.055572E-3	-3.27E-2   	1.00      	45.85 	25.1 	36.0 	5.709695E-1	9.110308E-7 	6.723620E+7	2.406180E+4	-1.911143E+0	2.175048E-3	1.255575E+0	1.115660E+0
1.0     	11      	6.926771E-1	1.554198E-3	-8.31E-2   	1.00      	48.42 	25.1 	36.0 	5.705677E-1	1.047576E-6 	6.728553E+7	7.178735E+4	-1.910093E+0	6.316909E-4	1.254187E+0	1.115258E+0
1.0     	12      	6.997411E-1	2.240834E-3	-7.13E-2   	1.00      	50.99 	25.1 	36.0 	5.714307E-1	3.106261E-6 	6.707097E+7	1.098484E+5	-1.916880E+0	1.049714E-3	1.261251E+0	1.116121E+0
1.0     	13      	6.953406E-1	1.596581E-3	-2.93E-2   	1.00      	53.56 	25.1 	36.0 	5.673846E-1	1.673768E-7 	6.731030E+7	4.456220E+4	-1.917067E+0	1.827412E-3	1.256851E+0	1.112075E+0
1.0     	14      	6.980097E-1	1.116817E-3	-3.58E-2   	1.00      	56.13 	25.1 	36.0 	5.659674E-1	9.481564E-7 	6.728183E+7	5.866313E+4	-1.921743E+0	3.511885E-4	1.259520E+0	1.110657E+0
1.0     	15      	6.943369E-1	2.237350E-3	-6.78E-2   	1.00      	58.70 	25.1 	36.0 	5.697395E-1	1.047596E-6 	6.726607E+7	8.874443E+4	-1.913003E+0	1.447907E-3	1.255847E+0	1.114429E+0
1.0     	16      	6.964411E-1	2.051800E-3	-6.68E-2   	1.00      	61.28 	25.1 	36.0 	5.721269E-1	2.938676E-6 	6.713793E+7	1.013544E+5	-1.912350E+0	1.337199E-3	1.257951E+0	1.116817E+0
1.0     	17      	7.045421E-1	7.062842E-4	-5.60E-2   	1.00      	63.86 	25.1 	36.0 	5.832828E-1	3.595848E-7 	6.659093E+7	2.530738E+4	-1.907360E+0	1.117005E-3	1.266052E+0	1.127973E+0
1.0     	18      	7.009107E-1	2.795900E-3	-5.04E-2   	1.00      	66.43 	25.1 	36.0 	5.797697E-1	5.859470E-6 	6.679093E+7	1.446597E+5	-1.907713E+0	7.397522E-4	1.262421E+0	1.124460E+0
1.0     	19      	7.011989E-1	1.936825E-3	-7.34E-2   	1.00      	69.01 	25.1 	36.0 	5.767712E-1	1.653619E-6 	6.687240E+7	8.924287E+4	-1.911823E+0	6.313742E-4	1.262709E+0	1.121461E+0
1.0     	20      	7.009121E-1	1.547543E-3	-8.25E-2   	1.00      	71.58 	25.1 	36.0 	5.786007E-1	2.107641E-6 	6.682550E+7	8.322524E+4	-1.909197E+0	5.186842E-4	1.262422E+0	1.123291E+0
1.0     	21      	7.005317E-1	1.159006E-3	-4.82E-2   	1.00      	74.15 	25.1 	36.0 	5.737623E-1	2.341149E-6 	6.697997E+7	7.542853E+4	-1.914850E+0	8.263776E-4	1.262042E+0	1.118452E+0
1.0     	22      	7.008550E-1	8.079527E-4	-1.01E-1   	1.00      	76.72 	25.1 	36.0 	5.787617E-1	6.908552E-7 	6.682217E+7	3.155413E+4	-1.908927E+0	1.438066E-3	1.262365E+0	1.123452E+0
1.0     	23      	7.040701E-1	1.346865E-3	-7.60E-2   	1.00      	79.31 	25.1 	36.0 	5.769997E-1	1.612191E-6 	6.678967E+7	7.120283E+4	-1.914723E+0	7.351417E-4	1.265580E+0	1.121690E+0
1.0     	24      	7.059278E-1	1.754113E-3	-4.20E-2   	1.00      	81.87 	25.1 	36.0 	5.761122E-1	1.258286E-6 	6.676713E+7	7.882489E+4	-1.917860E+0	7.133723E-4	1.267438E+0	1.120802E+0
1.0     	25      	6.966605E-1	6.429679E-4	-5.66E-2   	1.00      	84.45 	25.1 	36.0 	5.660017E-1	1.642384E-7 	6.731683E+7	2.405916E+4	-1.920233E+0	7.229338E-4	1.258170E+0	1.110692E+0
1.0     	26      	7.020891E-1	2.983886E-3	-7.56E-2   	1.00      	87.03 	25.1 	36.0 	5.750574E-1	4.792252E-6 	6.690010E+7	1.408044E+5	-1.914953E+0	1.437440E-3	1.263599E+0	1.119747E+0
1.0     	27      	6.958554E-1	7.707924E-4	-5.81E-2   	1.00      	89.59 	25.1 	36.0 	5.661182E-1	9.629535E-7 	6.733487E+7	4.937310E+4	-1.919210E+0	5.556078E-4	1.257365E+0	1.110808E+0
1.0     	28      	6.932475E-1	1.056256E-3	-7.99E-2   	1.00      	92.17 	25.1 	36.0 	5.691611E-1	2.184496E-6 	6.731270E+7	7.296136E+4	-1.912517E+0	6.929165E-4	1.254757E+0	1.113851E+0
1.0     	29      	6.917735E-1	2.225100E-3	-5.13E-2   	1.00      	94.74 	25.1 	36.0 	5.698424E-1	2.340379E-6 	6.733173E+7	9.620563E+4	-1.909990E+0	1.954712E-3	1.253283E+0	1.114532E+0
1.0     	30      	6.950393E-1	1.058633E-3	-8.54E-2   	1.00      	97.33 	25.1 	36.0 	5.699599E-1	1.191678E-6 	6.724057E+7	6.056190E+4	-1.913513E+0	4.214657E-4	1.256549E+0	1.114650E+0
1.0     	31      	6.933014E-1	6.689411E-4	-2.41E-2   	1.00      	99.89 	25.1 	36.0 	5.720794E-1	5.537641E-8 	6.722320E+7	1.272360E+4	-1.908877E+0	1.020212E-3	1.254811E+0	1.116769E+0
1.0     	32      	6.924675E-1	1.416280E-3	-5.82E-2   	1.00      	102.47	25.1 	36.0 	5.713326E-1	3.675328E-7 	6.726807E+7	4.332082E+4	-1.908880E+0	1.729884E-3	1.253977E+0	1.116023E+0
1.0     	33      	6.986949E-1	1.646140E-3	-9.14E-2   	1.00      	105.04	25.1 	36.0 	5.744965E-1	4.891504E-6 	6.700683E+7	1.059214E+5	-1.911887E+0	1.571634E-3	1.260205E+0	1.119186E+0
