#Measurement:		CV
#Sensor type:		CALICE_6in_256ch
#Needle measurement:	0
#Identifier:		CSIS001_IVSample_20250521_0
#Timestamp:		21.5.2025 12:46 
#Voltage delay:		20.0 s
#Switch delay:		0.3 s
#Compliance level:		2000.00 uA
#Mask pads above:		5.00 uA
#Voltage limit:		100.0 V
#LCR freq.:		2000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		19,104,136,157,242
#Masked channels:		None
#Vltg. sign inversion?:	1
#VISA source:		GPIB0::18::INSTR
#VISA DMM:		GPIB0::25::INSTR
#VISA LCR:		GPIB0::17::INSTR
#HexPlot cmd:		C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_CV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_CV_customscan.pdf" --CV  --select 200  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\geo\hex_positions_HPK_256ch_6inch_CALICE.txt" --colorpalette 1
#HexPlot analysis cmd:	C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_CV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_CV_customscan_analysis.pdf" --CV  --select 200  --if SELECTOR:PADNUM:VAL -p PAD --sc 1-19--invertx -g "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\geo\hex_positions_HPK_256ch_6inch_CALICE.txt" --colorpalette 1
#HexPlot on matrix cmd:	C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_CV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_CV_customscan.pdf" --CV  --select 200  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\geo\switch_matrix.txt" -m "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\maps\Probe_card_CALICE_6in_256ch.txt"  --colorpalette 1
#Voltage file:		C:\Users\calice\Desktop\ProbeStation\SensorTest_CALICE_6in_256ch\HGCAL_sensor_tests-CALICE_6in_256ch\config\Voltages_20250214.txt
#CV correction file:		None
#Comments:		CSIS 001 IV  CV sample channels

#Voltage	#Channel	#Cs        	#Error     	#Tot. curr.	#Act. vlt.	#Time 	#Temp	#Hum.	#Cp        	#Error     	#Impedance 	#Error     	#Phase      	#Error     	#Cs uncorr.	#Cp uncorr.
#[V]    	#       	#[pF]      	#[pF]      	#[nA]      	#[V]      	#[s]  	#[C] 	#[%] 	#[pF]      	#[pF]      	#[Ohm]     	#[Ohm]     	#[Rad]      	#[Rad]     	#[pF]      	#[pF]      
5.0     	19      	1.788495E+1	1.775155E-4	1.36E+1    	5.00      	24.27 	23.2 	38.3 	1.790115E+1	2.826833E-8	4.314043E+6	4.041452E+1	-1.564997E+0	4.932883E-5	1.844646E+1	1.844584E+1
5.0     	104     	1.690942E+1	8.028918E-4	1.24E+1    	5.00      	27.00 	23.2 	38.3 	1.692591E+1	6.509443E-7	4.554893E+6	2.098412E+2	-1.566483E+0	3.055050E-5	1.747093E+1	1.747060E+1
5.0     	136     	1.771851E+1	2.294824E-3	1.19E+1    	5.00      	29.58 	23.2 	38.3 	1.773462E+1	5.206783E-6	4.353333E+6	5.450076E+2	-1.564543E+0	5.859465E-5	1.828002E+1	1.827931E+1
5.0     	157     	1.689949E+1	2.560866E-2	1.24E+1    	5.00      	32.15 	23.2 	38.3 	1.691611E+1	6.604973E-4	4.557473E+6	6.690399E+3	-1.567510E+0	8.669487E-4	1.746100E+1	1.746080E+1
5.0     	242     	1.740592E+1	2.006542E-3	1.25E+1    	5.00      	34.70 	23.2 	38.3 	1.742196E+1	4.043085E-6	4.429080E+6	4.951767E+2	-1.564213E+0	5.773503E-5	1.796743E+1	1.796665E+1
10.0    	19      	1.305103E+1	1.457307E-3	1.98E+1    	10.00     	66.54 	23.2 	38.3 	1.306784E+1	2.123208E-6	5.845897E+6	6.258061E+2	-1.570527E+0	3.214550E-5	1.361254E+1	1.361253E+1
10.0    	104     	1.210250E+1	8.395692E-4	1.68E+1    	10.00     	68.87 	23.2 	38.3 	1.211928E+1	6.995963E-7	6.283760E+6	4.158125E+2	-1.572497E+0	8.962886E-5	1.266401E+1	1.266397E+1
10.0    	136     	1.246472E+1	1.080701E-3	1.70E+1    	10.00     	71.44 	23.2 	38.3 	1.248153E+1	1.167995E-6	6.109020E+6	5.068530E+2	-1.571900E+0	4.582576E-5	1.302623E+1	1.302622E+1
10.0    	157     	1.213949E+1	1.559575E-3	1.68E+1    	10.00     	74.01 	23.2 	38.3 	1.215626E+1	2.395051E-6	6.265463E+6	7.664420E+2	-1.572797E+0	2.484619E-4	1.270100E+1	1.270095E+1
10.0    	242     	1.272329E+1	2.186016E-3	1.68E+1    	10.00     	76.58 	23.2 	38.3 	1.274010E+1	4.785163E-6	5.990117E+6	9.859175E+2	-1.570147E+0	8.962886E-5	1.328480E+1	1.328479E+1
15.0    	19      	1.082263E+1	3.567431E-4	2.31E+1    	15.00     	108.35	23.2 	38.3 	1.083932E+1	1.328732E-7	6.990247E+6	2.214347E+2	-1.574140E+0	1.352775E-4	1.138414E+1	1.138401E+1
15.0    	104     	9.912908E+0	7.529913E-4	1.97E+1    	15.00     	110.70	23.2 	38.3 	9.929398E+0	5.681475E-7	7.597437E+6	5.464735E+2	-1.576407E+0	3.214550E-5	1.047442E+1	1.047409E+1
15.0    	136     	1.012029E+1	1.844133E-3	1.99E+1    	15.00     	113.25	23.2 	38.3 	1.013682E+1	3.404670E-6	7.449920E+6	1.286429E+3	-1.576000E+0	1.178983E-4	1.068180E+1	1.068151E+1
15.0    	157     	9.970213E+0	3.199021E-3	1.97E+1    	15.00     	115.82	23.2 	38.3 	9.986695E+0	1.006295E-5	7.556100E+6	2.285979E+3	-1.576453E+0	2.281082E-4	1.053172E+1	1.053139E+1
15.0    	242     	1.057285E+1	4.621605E-4	1.99E+1    	15.00     	118.39	23.2 	38.3 	1.058956E+1	2.137615E-7	7.147053E+6	2.967041E+2	-1.573827E+0	1.159023E-4	1.113436E+1	1.113425E+1
